"word","cdv.txt","groen.txt","nva.txt","openvld.txt","pvda.txt","spa.txt","vlaamsbelang.txt"
"moeten",316,456,180,64,228,393,45
"sociale",384,347,132,35,217,379,34
"mensen",127,357,80,81,193,361,10
"onze",222,236,185,83,81,354,44
"alle",217,399,81,46,145,271,29
"maken",188,438,106,68,58,306,19
"groen",9,1076,5,0,6,2,0
"overheid",163,382,133,74,80,246,14
"tussen",213,318,78,31,105,217,14
"willen",130,399,30,76,162,160,10
"nieuwe",200,369,69,42,78,176,11
"vlaamse",218,257,134,33,43,131,69
"<e2><80><a2>",851,0,0,0,0,0,0
"zoals",105,322,75,36,63,215,16
"europese",93,269,122,16,147,167,11
"vlaanderen",185,213,121,32,30,158,76
"onderwijs",194,177,45,49,111,173,11
"werken",111,208,81,48,65,195,11
"mogelijk",122,271,88,30,29,151,13
"daarom",64,223,64,70,32,178,66
"beleid",149,233,91,25,49,137,7
"werk",72,212,48,33,115,187,12
"waar",94,220,72,35,62,182,6
"jaar",67,184,54,31,217,90,19
"via",124,291,39,28,44,123,13
"krijgen",88,236,63,21,57,146,18
"spa",0,0,1,0,1,606,1
"gaan",102,181,54,20,72,148,8
"kinderen",84,236,23,18,30,183,8
"nodig",97,194,76,26,51,109,8
"jongeren",61,195,13,11,57,213,6
"zorg",136,165,23,21,34,157,7
"plaats",67,152,58,27,79,125,19
"samenleving",104,117,40,30,73,155,5
"iedereen",49,121,29,18,60,241,5
"economische",234,85,29,22,30,103,17
"middelen",70,227,59,22,36,99,7
"geven",74,176,69,33,28,131,6
"recht",63,191,19,15,89,126,11
"lokale",112,207,41,12,9,128,2
"blijven",114,135,50,32,49,107,22
"alleen",51,166,26,14,74,155,13
"beter",80,179,43,18,23,155,1
"samenwerking",136,125,66,19,17,118,10
"zodat",91,166,46,32,24,116,9
"bedrijven",95,159,40,20,68,97,4
"verder",87,155,57,33,20,126,5
"eigen",77,155,62,22,44,98,19
"binnen",72,217,34,18,15,109,8
"manier",66,184,29,24,29,127,8
"aantal",60,183,38,11,64,87,18
"grote",73,144,24,9,113,91,7
"goed",67,140,33,16,59,135,7
"belgië",0,202,37,5,89,95,22
"komen",72,183,37,15,53,74,16
"duurzame",80,239,19,5,16,85,0
"minder",39,157,39,26,81,92,9
"staat",56,129,48,14,60,110,20
"samen",47,108,47,21,22,184,3
"land",54,135,25,31,72,92,21
"gaat",42,145,23,14,66,128,6
