"word","cdv.txt","cdv.txt.zip","groen.txt","groen.txt.zip","nva.txt","nva.txt.zip","openvld.txt","openvld.txt.zip","pvda.txt","pvda.txt.zip","spa.txt","spa.txt.zip","vlaamsbelang.txt","vlaamsbelang.txt.zip"
"groen",1,0,1076,0,5,0,0,0,6,0,2,0,0,0
"spa",0,0,0,0,1,0,0,0,1,0,606,0,1,0
"moeten",108,0,456,0,180,0,64,0,228,0,393,0,45,0
"sociale",205,0,347,0,132,0,35,0,217,0,379,0,34,0
"maken",78,0,438,0,106,0,68,0,58,0,306,0,19,0
"mensen",64,0,357,0,80,0,81,0,193,0,361,0,10,0
"alle",58,0,399,0,81,0,46,0,145,0,271,0,29,0
"overheid",65,0,382,0,133,0,74,0,80,0,246,0,14,0
"willen",60,0,399,0,30,0,76,0,162,0,160,0,10,0
"onze",98,0,236,0,185,0,83,0,81,0,354,0,44,0
"nieuwe",84,0,369,0,69,0,42,0,78,0,176,0,11,0
"tussen",66,0,318,0,78,0,31,0,105,0,217,0,14,0
"zoals",32,0,322,0,75,0,36,0,63,0,215,0,16,0
"europese",38,0,269,0,122,0,16,0,147,0,167,0,11,0
"via",19,0,291,0,39,0,28,0,44,0,123,0,13,0
"mogelijk",47,0,271,0,88,0,30,0,29,0,151,0,13,0
"vlaamse",96,0,257,0,134,0,33,0,43,0,131,0,69,0
"kinderen",21,0,236,0,23,0,18,0,30,0,183,0,8,0
"jongeren",16,0,195,0,13,0,11,0,57,0,213,0,6,0
"werk",31,0,212,0,48,0,33,0,115,0,187,0,12,0
"werken",62,0,208,0,81,0,48,0,65,0,195,0,11,0
"waar",37,0,220,0,72,0,35,0,62,0,182,0,6,0
"jaar",38,0,184,0,54,0,31,0,217,0,90,0,19,0
"daarom",30,0,223,0,64,0,70,0,32,0,178,0,66,0
"vlaanderen",81,0,213,0,121,0,32,0,30,0,158,0,76,0
"krijgen",22,0,236,0,63,0,21,0,57,0,146,0,18,0
"beleid",44,0,233,0,91,0,25,0,49,0,137,0,7,0
"iedereen",12,0,121,0,29,0,18,0,60,0,241,0,5,0
"duurzame",31,0,239,0,19,0,5,0,16,0,85,0,0,0
"onderwijs",81,0,177,0,45,0,49,0,111,0,173,0,11,0
"middelen",19,0,227,0,59,0,22,0,36,0,99,0,7,0
"lokale",38,0,207,0,41,0,12,0,9,0,128,0,2,0
"binnen",11,0,217,0,34,0,18,0,15,0,109,0,8,0
"recht",15,0,191,0,19,0,15,0,89,0,126,0,11,0
"zorg",100,0,165,0,23,0,21,0,34,0,157,0,7,0
"gaan",38,0,181,0,54,0,20,0,72,0,148,0,8,0
"beter",35,0,179,0,43,0,18,0,23,0,155,0,1,0
"belgië",13,0,202,0,37,0,5,0,89,0,95,0,22,0
"alleen",19,0,166,0,26,0,14,0,74,0,155,0,13,0
"nodig",41,0,194,0,76,0,26,0,51,0,109,0,8,0
"ruimte",17,0,202,0,33,0,9,0,10,0,84,0,5,0
"manier",18,0,184,0,29,0,24,0,29,0,127,0,8,0
"geven",21,0,176,0,69,0,33,0,28,0,131,0,6,0
"cdv",206,0,0,0,2,0,0,0,1,0,0,0,0,0
"komt",19,0,201,0,34,0,8,0,50,0,72,0,9,0
"samen",28,0,108,0,47,0,21,0,22,0,184,0,3,0
"aantal",34,0,183,0,38,0,11,0,64,0,87,0,18,0
"plaats",29,0,152,0,58,0,27,0,79,0,125,0,19,0
"verder",9,0,155,0,57,0,33,0,20,0,126,0,5,0
"zodat",28,0,166,0,46,0,32,0,24,0,116,0,9,0
"komen",24,0,183,0,37,0,15,0,53,0,74,0,16,0
